编号,经度,纬度,所属行政区,维护联系人,联系人联系方式,联系人所属部门,监控点名称,使用部门,公安业务,摄像机类型,应用场所,分辨率,是否有拾音器,监控点方向,是否有PTZ,安装位置,是否启用,建设类型,初装日期,监控点描述,制造商,监控点型号,接入汇接点名称,汇接点负责人,监控点IP,位置类型,所属行业,警种,使用性质,监控点所属设备名称,监控点主要作用,标注更新日期,标注更新人,20位编码,32位编码,监控点被访问次数,监控点通道号
24,117.01161,33.63293,,,,,TH01建设路沱河农贸市场西门北侧花坛内看西路面和看东菜市场:1,,,,,,否,,否,,启用,,,,kedacom,,,,34.36.20.1,室内,,,,TH01建设路沱河农贸市场西门北侧花坛内看西路面和看东菜市场,,,,,55040000000000000011200022500000,0,0
25,117.0423,33.63945,,,,,CD39凤鸣路华菱星马4S店南门东侧18米看西路面和4S店出口:1,,,,,,否,,否,,启用,,,,kedacom,,,,34.36.24.39,室内,,,,CD39凤鸣路华菱星马4S店南门东侧18米看西路面和4S店出口,,,,,55040000000000000011200022400000,0,0
26,117.05341,33.63208,,,,,CD34风瑞路安通驾校大门前电杆看驾校门前停车场（球机）:1,,,,,,否,,否,,启用,,,,kedacom,,,,34.36.24.34,室内,,,,CD34风瑞路安通驾校大门前电杆看驾校门前停车场（球机）,,,,,55040000000000000011200022300000,0,0
27,117.04025,33.63934,,,,,CD18仁和路与凤鸣路交口报废汽车回收厂门前北侧8米等杆旁看东路口:1,,,,,,否,,否,,启用,,,,kedacom,,,,34.36.24.18,室内,,,,CD18仁和路与凤鸣路交口报废汽车回收厂门前北侧8米等杆旁看东路口,,,,,55040000000000000011200022200000,0,0
28,117.04139,33.65169,,,,,CD16仁和路与纬十一路交口西南角西监控杆看东北路面:1,,,,,,否,,否,,启用,,,,kedacom,,,,34.36.24.16,室内,,,,CD16仁和路与纬十一路交口西南角西监控杆看东北路面,,,,,55040000000000000011200022100000,0,0
29,116.97524,33.65139,,,,,BG057汇源大道沱河桥北头西侧路灯看东北:1,,,,,,否,,否,,启用,,,,kedacom,,,,34.36.4.57,室内,,,,BG057汇源大道沱河桥北头西侧路灯看东北,,,,,55020000000000000011200042200000,0,0
30,116.98404,33.60628,,,,,JH185宿怀路与南外环路交口（向南）:1,,,,,,否,,否,,启用,,,,kedacom,,,,34.36.26.185,室内,,,,JH185宿怀路与南外环路交口（向南）,,,,,55010000000000000011200050500000,0,0
31,116.97985,33.64885,,,,,JH039金泰路沱河小区北门门前西侧电杆看西小区门口和路面:1,,,,,,否,,否,,启用,,,,kedacom,,,,34.36.26.39,室内,,,,JH039金泰路沱河小区北门门前西侧电杆看西小区门口和路面,,,,,55010000000000000011200050400000,0,0
32,,,,,,,宿州泗县桃园路―虹乡路路口东南(球):1,,,,,,否,,否,,启用,,,,kedacom,,,,34.34.0.165,室内,,,,宿州泗县桃园路―虹乡路路口东南(球),,,,,55100000000000000011200019700000,0,0
33,,,,,,,宿州泗县汽车站大厅北门路北(球):1,,,,,,否,,否,,启用,,,,kedacom,,,,34.34.0.175,室内,,,,宿州泗县汽车站大厅北门路北(球),,,,,55100000000000000011200019900000,0,0
34,,,,,,,宿州泗县新市街―人民路路口东（向西）:1,,,,,,否,,否,,启用,,,,kedacom,,,,34.34.0.133,室内,,,,宿州泗县新市街―人民路路口东（向西）,,,,,55100000000000000011200019800000,0,0
35,116.99601,33.61385,,,,,JH147金海大道清华园小区西门北侧看男方国际小区大门:1,,,,,,否,,否,,启用,,,,kedacom,,,,34.36.26.147,室内,,,,JH147金海大道清华园小区西门北侧看南方国际小区大门,,,,,55010000000000000011200050200000,0,0
36,116.99525,33.60786,,,,,JH131金海大道开发区管委会东门对面看南路口:1,,,,,,否,,否,,启用,,,,kedacom,,,,34.36.26.131,室内,,,,JH131金海大道开发区管委会东门对面看南路口,,,,,55010000000000000011200050100000,0,0
37,116.99525,33.60786,,,,,JH130金海大道开发区管委会东门对面看西管委会大门:1,,,,,,否,,否,,启用,,,,kedacom,,,,34.36.26.130,室内,,,,JH130金海大道开发区管委会东门对面看西管委会大门,,,,,55010000000000000011200050000000,0,0
38,116.99443,33.5971,,,,,JH129金海大道车管所东门南侧警卫室看北车管所（球）:1,,,,,,否,,否,,启用,,,,kedacom,,,,34.36.26.129,室内,,,,JH129金海大道车管所东门南侧警卫室看北车管所（球）,,,,,55010000000000000011200049900000,0,0
39,116.98661,33.60165,,,,,JH127206国道东风手工馒头店对面加油站看北加油站出口（球）:1,,,,,,否,,否,,启用,,,,kedacom,,,,34.36.26.127,室内,,,,JH127206国道东风手工馒头店对面加油站看北加油站出口（球）,,,,,55010000000000000011200049800000,0,0
40,116.94514,33.58827,,,,,JH031拂晓大道与外环五路交口东南角盲道看北路口:1,,,,,,否,,否,,启用,,,,kedacom,,,,34.36.26.31,室内,,,,JH031拂晓大道与外环五路交口东南角盲道看北路口,,,,,55010000000000000011200049700000,0,0
41,116.5634,34.1057,,,,,中山路（家得利）:1,,,,,,否,,否,,启用,,,,kedacom,,,,34.32.11.120,室内,,,,中山路（家得利）,,,,,55110000000000000011200034400000,0,0
42,116.5657,34.1105,,,,,龙山路（为民医院）:1,,,,,,否,,否,,启用,,,,kedacom,,,,34.32.12.116,室内,,,,龙山路（为民医院）,,,,,55110000000000000011200034200000,0,0
